F16-A-03-S1;Wintershall;Boorgatstatus;Suspended;Producing/Injecting
F16-A-05;Wintershall;Boorgatstatus;Producing;Producing/Injecting
F16-A-06;Wintershall;Boorgatstatus;Producing;Technisch mislukt en sidetracked
F16-A-06-S1;Wintershall;Boorgatstatus;Producing;Producing/Injecting
F16-A-07;Wintershall;Boorgatstatus;Producing;Producing/Injecting
F17-01;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
F17-01-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F17-01-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F17-02;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F17-02-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F17-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F17-04;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F17-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F17-06;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F17-07;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F17-08-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
F17-09;Sterling Resources;Boorgatstatus;-;Abandoned
F17-10;Wintershall;Boorgatstatus;-;Abandoned
F18-01-S1;Tenneco;Boorgatstatus;Plugged and abandoned;Suspended
F18-02;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
F18-03;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
F18-04;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
F18-05;Agip;Boorgatstatus;Plugged and abandoned;Abandoned
F18-06;Agip;Boorgatstatus;Plugged and abandoned;Abandoned
F18-07;Agip;Boorgatstatus;Plugged and abandoned;Abandoned
F18-08;Wintershall;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F18-08-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
F18-09;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F18-09-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
F18-09-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F18-10;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
F18-10-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
F18-10-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
F18-11;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
FAN-01;NAM;Boorgatstatus;Producing;Producing/Injecting
FIN-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
FLN-01;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
FRB-01;NAM;Boorgatstatus;Producing;Producing/Injecting
FRB-02;NAM;Boorgatstatus;Producing;Producing/Injecting
FRB-03;NAM;Boorgatstatus;Producing;Producing/Injecting
FRB-04;NAM;Boorgatstatus;Producing;Producing/Injecting
FRB-05;NAM;Boorgatstatus;Producing;Producing/Injecting
FRB-06;NAM;Boorgatstatus;Producing;Producing/Injecting
FRB-07;NAM;Boorgatstatus;Producing;Producing/Injecting
FRB-08;NAM;Boorgatstatus;Producing;Producing/Injecting
FRM-01-S1;NAM;Boorgatstatus;Plugged back;Abandoned
FRM-01-S2;NAM;Boorgatstatus;Plugged back;Abandoned
G07-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
G10-01;Total;Boorgatstatus;Plugged back and sidetracked;Abandoned
G10-01-S1;Total;Boorgatstatus;Plugged and abandoned;Abandoned
G10-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
G10-03;Total;Boorgatstatus;Plugged and abandoned;Abandoned
G11-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
G13-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
G13-02;Chevron;Boorgatstatus;Plugged back and sidetracked;Abandoned
G13-02-S1;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
G13-03;Total;Boorgatstatus;Plugged back and sidetracked;Abandoned
G13-03-S1;Total;Boorgatstatus;Plugged and abandoned;Abandoned
G14-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
G14-04;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G14-05;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
G14-06;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Abandoned
G14-A-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G14-A-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G14-B-03;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Technisch mislukt en sidetracked
G14-B-03-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Producing/Injecting
G16-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
G16-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
G16-04;Conoco;Boorgatstatus;Plugged and abandoned;Abandoned
G16-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
G16-06;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
G16-06-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
G16-08;ENGIE E&P Nederland B.V.;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
G16-08-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
G16-09;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G16-11;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Abandoned
G16-A-01-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G16-A-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G16-A-03;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G16-B-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G16-B-03;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
G16-B-04-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;-;Producing/Injecting
G17-01;RFD;Boorgatstatus;Plugged and abandoned;Abandoned
G17-02;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
G17-03;Hamilton;Boorgatstatus;Plugged and abandoned;Abandoned
G17-06-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
G17-A-01-S1;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G17-A-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G17-S-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Producing;Producing/Injecting
G18-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GAG-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GAG-03;NAM;Boorgatstatus;Producing;Producing/Injecting
GAG-04;NAM;Boorgatstatus;Producing;Producing/Injecting
GAG-06-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
GEL-01;Mees & Hope;Boorgatstatus;Plugged and abandoned;Abandoned
GEL-02;Mees & Hope;Boorgatstatus;Plugged and abandoned;Abandoned
GEL-03;Mees & Hope;Boorgatstatus;Plugged and abandoned;Abandoned
GEL-04;Mees & Hope;Boorgatstatus;Plugged and abandoned;Abandoned
GEL-05;Mees & Hope;Boorgatstatus;Plugged and abandoned;Abandoned
GGT-01;NAM;Boorgatstatus;Closed-in;Suspended
GGT-101-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
GGT-102;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
GGT-102-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
GGT-102-S2;NAM;Boorgatstatus;Plugged back;Abandoned
GGT-102-S2;NAM;Einddatum;25-07-1998;23-07-1998
GGT-102-S3;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
GGT-102-S3;NAM;Einddatum;12-08-1998;09-08-1998
GGT-102-S4;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GGT-103;NAM;Boorgatstatus;Suspended;Closed-in
GIT-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GLH-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GOU-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GOU-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GRD-01;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
GRH-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GRK-01-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
GRK-02;NAM;Boorgatstatus;Producing;Producing/Injecting
GRK-11;NAM;Boorgatstatus;Producing;Producing/Injecting
GRK-13;NAM;Boorgatstatus;Producing;Producing/Injecting
GRK-15;NAM;Boorgatstatus;Producing;Producing/Injecting
GRK-17-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
GRK-21;NAM;Boorgatstatus;-;Producing/Injecting
GRK-43;NAM;Boorgatstatus;Producing;Producing/Injecting
GRK-45;NAM;Boorgatstatus;Producing;Producing/Injecting
GRK-47;NAM;Boorgatstatus;Producing;Producing/Injecting
GRL-01;NAM;Huidige eigenaar;NAM;Vermilion Energy Netherlands B.V.
GRL-01;NAM;Boorgatstatus;Producing;Producing/Injecting
GRO-01-S1;TAQA;Boorgatstatus;-;Closed-in
GRT-01;TAQA;Boorgatstatus;Producing;Producing/Injecting
GRT-02;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
GRT-03;TAQA;Boorgatstatus;Closed-in;Plugged back and sidetracked
GRT-05;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
GRT-07;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
GRW-01;Vermilion;Veld Code;GRW;GRW-RWD
GRW-02;Vermilion;Veld Code;GRW;GRW-RWD
GSB-01;NAM;Boorgatstatus;Producing;Producing/Injecting
GSD-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GST-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GSV-01-S1;NAM;Boorgatstatus;Plugged back;Abandoned
GSV-01-S2;NAM;Boorgatstatus;Producing;Producing/Injecting
GTV-01;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
GTV-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GVK-01;Ned. Energie Ontw. Mij.;Boorgatstatus;Plugged and abandoned;Abandoned
GWD-01;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
GWD-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
GWG-01;Vermilion;Boorgatstatus;Plugged and abandoned;Abandoned
H16-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HAG-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HAG-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HAL-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HAR-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HAR-OBS;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HAW-01;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
HBG-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HBG-02-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
HBG-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HBG-04;NAM;Boorgatstatus;Producing;Producing/Injecting
HBG-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HBG-06;NAM;Boorgatstatus;Producing;Producing/Injecting
HBG-07;NAM;Boorgatstatus;Producing;Producing/Injecting
HBG-08;NAM;Boorgatstatus;Producing;Producing/Injecting
HBV-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
HDN-20;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
HEI-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HEK-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HEK-GT-01;Ce-Ren Beheer BV;Boorgatstatus;-;Technisch mislukt en sidetracked
HEK-GT-01-S1;Ce-Ren Beheer BV;Boorgatstatus;-;Technisch mislukt en sidetracked
HEL-05-A;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
HEL-06;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
HEL-07;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
HEN-01;Koninklijke Nederlandse Zoutindustrie;Opdrachtgever;KNZ;Koninklijke Nederlandse Zoutindustrie
HEN-01;Koninklijke Nederlandse Zoutindustrie;Huidige eigenaar;Koninklijke Nederlandse Zoutindustrie;AKZO
HEN-01;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Producing;Closed-in
HES-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
HEW-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
HEW-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HGM-01;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
HGV-01;Rijks Geologische Dienst;Boorgatstatus;Plugged and abandoned;Abandoned
HGW-01;NAM;Boorgatstatus;Closed-in;Abandoned
HGW-02;NAM;Boorgatstatus;Producing;Producing/Injecting
HGZ-01;NAM;Boorgatstatus;Completed to well;Observing
HIJ-01;Total;Boorgatstatus;Plugged and abandoned;Abandoned
HIL-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HKS-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HLD-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HLE-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HLH-GT-01;Gemeente Heerlen;Boorgatstatus;Producing;Producing/Injecting
HLH-GT-02;Gemeente Heerlen;Boorgatstatus;Injecting;Producing/Injecting
HLM-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HLO-01;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
HLO-02;TAQA;Boorgatstatus;Suspended;Abandoned
HNS-01;Vermilion;Boorgatstatus;Plugged and abandoned;Abandoned
HOA-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
HOA-01-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
HOA-01-S2;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
HOA-01-S3;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
HOA-01-S4;NAM;Boorgatstatus;Plugged back;Abandoned
HOA-01-S5;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
HOA-01-S6;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HOA-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HOK-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HOK-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HON-GT-01;Green Well Westland B.V.;Boorgatstatus;-;Technisch mislukt en sidetracked
HON-GT-01-S1;Green Well Westland B.V.;Boorgatstatus;-;Abandoned
HON-GT-02;Green Well Westland B.V.;Boorgatstatus;-;Producing/Injecting
HOO-01;Vermilion;Boorgatstatus;Plugged and abandoned;Abandoned
HPS-01;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
HPS-01;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
HPT-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HRK-01;Tulip Oil Netherlands B.V.;Boorgatstatus;-;Technisch mislukt en sidetracked
HRK-01-S1;Tulip Oil Netherlands B.V.;Boorgatstatus;-;Plugged back and sidetracked
HRL-03;Vermilion;Boorgatstatus;Plugged and abandoned;Abandoned
HRL-10;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
HRL-10;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
HRL-10-S1;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
HRL-10-S1;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
HRL-10-S1;Vermilion;Boorgatstatus;Plugged back;Abandoned
HRL-10-S2;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
HRL-10-S2;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
HRL-10-S2;Vermilion;Boorgatstatus;Plugged back;Closed-in
HRL-10-S3;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
HRL-10-S3;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
HRL-101;Vermilion;Boorgatstatus;Producing;Producing/Injecting
HRL-11;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
HRL-11;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
HRL-11-S1;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
HRL-11-S1;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
HRS-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
HRS-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HRV-01;Vermilion;Boorgatstatus;Plugged and abandoned;Abandoned
HST-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HST-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HST-02-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HSW-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
HSW-01-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
HTM-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HTM-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HVE-01;Vermilion;Opdrachtgever;Vermilion;Vermilion Oil & Gas Netherlands B.V.
HVE-01;Vermilion;Huidige eigenaar;Vermilion;Vermilion Energy Netherlands B.V.
HVS-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
HZW-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJD-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
IJM-01;Superior Oil;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-02;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-02-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-03;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
IJS-03-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-04-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-06;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-07-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-08;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-09;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-09-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-10;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-10-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-11;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-12;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-12-S1;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-12-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-13;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-14;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-15;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
IJS-15-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-15-S2;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-15-S3;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-16;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-17;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-18;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-18-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-19;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-20;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-20-S1;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-20-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-21;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-22;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-22-S1;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-22-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-23;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-23-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-24;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-25;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-26;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-28;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-28-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-29;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-30;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-30-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-31;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-31-S1;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
IJS-31-S2;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-31-S3;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-32;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-32-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-33;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-33-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-34;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-34-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-35;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-35-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-36;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
IJS-36-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-36-S2;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-36-S3;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-37;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-37-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-38;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-38-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-39;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
IJS-39-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-40;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-40-S1;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-40-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-41;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
IJS-41-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-42;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-43;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-43-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-44;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-44-S1;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-44-S2;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-44-S3;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-44-S4;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-45;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-45-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-46;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-46-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-47;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-48;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-48-S1;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-48-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-49;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-49-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-50;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-50-S1;NAM;Boorgatstatus;Plugged back;Abandoned
IJS-50-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-52;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-52-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-54-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-55;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-56;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-57;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-57-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-58;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-59;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-60;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-61;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-62;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-63;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-64;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-64-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
IJS-64-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-65;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-66;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
IJS-67;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ILP-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ISH-01;AkzoNobel;Boorgatstatus;Plugged and abandoned;Abandoned
J03-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
J03-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
J03-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
J06-01;Ultramar;Huidige eigenaar;Ultramar;Spirit Energy
J06-01;Ultramar;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
J06-01-S1;Ultramar;Boorgatstatus;Closed-in;Abandoned
J06-04;Lasmo;Huidige eigenaar;Lasmo;Spirit Energy
J06-04;Lasmo;Boorgatstatus;Plugged and abandoned;Abandoned
J06-A-01;Ultramar;Huidige eigenaar;Ultramar;Spirit Energy
J06-A-02;Ultramar;Huidige eigenaar;Ultramar;Spirit Energy
J06-A-02;Ultramar;Boorgatstatus;Water injecting;Producing/Injecting
